sssom_subject_id,sssom_subject_category,sssom_predicate_id,sssom_object_id,sssom_object_category,sssom_mapping_justification,sssom_author_id,sssom_author_label,sssom_creator_id,sssom_creator_label,sssom_subject_type,sssom_object_type,sssom_object_source,sssom_mapping_date,sssom_object_match_field,sssom_comment,semapv_regexRemoval,object_source_version,sssom_reviewer_id,sssom_reviewer_label,semapv_RegexRemoval,term_local_name
mids:Organization,mids0,skos:narrowMatch,dwc:institutionCode,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1257,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Organization
mids:Name,mids1,skos:narrowMatch,dwc:scientificName,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1258,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Name
mids:Name,mids1,skos:narrowMatch,dwc:vernacularName,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1259,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Name
mids:Name,mids1,skos:narrowMatch,dwc:scientificNameID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown|0,Name
mids:ScientificNameID,mids1,skos:narrowMatch,gbif:taxonKey,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2024-06-26,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown|0,ScientificNameID
mids:Name,mids1,skos:narrowMatch,dwc:organismName,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Name
mids:SpecimenType,mids1,skos:exactMatch,dwc:basisOfRecord,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,SpecimenType
mids:ObjectType,mids1,skos:exactMatch,dwc:preparations,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1261,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,ObjectType
mids:License,mids1,skos:exactMatch,dc:license,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1262,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,License
mids:Modified,mids1,skos:exactMatch,dc:modified,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1263,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,Modified
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:locality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1264,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:county,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1265,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:municipality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1266,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:verbatimLocality,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1267,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:island,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1268,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:verbatimCoordinates,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1269,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,owl:intersectionOf,dwc:verbatimLongitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1272,Mathias Dillen,rdf property,rdf property,,2023-09,dwc:verbatimLongitude | dwc:verbatimLatitude,All properties in object_match_field need to be present,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,owl:intersectionOf,dwc:verbatimLatitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1273,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:continent,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:country,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:countryCode,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:islandGroup,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1277,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:stateProvince,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1278,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:waterBody,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QualitativeLocation,mids2,skos:narrowMatch,dwc:higherGeography,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0001-9144-2848,Elspeth Haston,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QualitativeLocation
mids:QuantitativeLocation,mids2,skos:exactMatch,dwc:locationID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QuantitativeLocation
mids:QuantitativeLocation,mids2,owl:intersectionOf,dwc:decimalLatitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QuantitativeLocation
mids:QuantitativeLocation,mids2,owl:intersectionOf,dwc:decimalLongitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,,2023-09,dwc:decimalLatitude | dwc:decimalLongitude,All properties in object_match_field need to be present,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QuantitativeLocation
mids:QuantitativeLocation,mids2,skos:narrowMatch,dwc:footprintWKT,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1280,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,QuantitativeLocation
mids:CollectingAgent,mids2,skos:narrowMatch,dwc:recordedBy,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1282,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectingAgent
mids:CollectingAgent,mids2,skos:narrowMatch,dwc:recordedByID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1283,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectingAgent
mids:CollectionDate,mids2,skos:narrowMatch,dwc:eventDate,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1284,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectionDate
mids:CollectionDate,mids2,skos:narrowMatch,dwc:year,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1285,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectionDate
mids:CollectionDate,mids2,skos:narrowMatch,dwc:verbatimEventDate,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1286,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectionDate
mids:CollectorNumber,mids2,skos:narrowMatch,dwc:fieldNumber,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1287,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectorNumber
mids:CollectorNumber,mids2,skos:narrowMatch,dwc:recordNumber,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1288,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectorNumber
mids:media,mids2,skos:narrowMatch,gbif:mediaType,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,media
mids:media,mids2,skos:narrowMatch,dwc:associatedMedia,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-5669-2769,Sam Leeflang,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,media
mids:media,mids2,skos:narrowMatch,dc:identifier,gbif:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-12-05,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,media
mids:media,mids2,skos:narrowMatch,dc:references,gbif:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-12-05,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,media
mids:media,mids2,skos:narrowMatch,ac:accessURI,ac:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-12-05,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,media
mids:media,mids2,skos:narrowMatch,dc:identifier,ac:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-12-05,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,media
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:geodeticDatum,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257 | orcid:0000-0002-5669-2769,Mathias Dillen | Sam Leeflang,orcid:0000-0002-3973-1277,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:coordinateUncertaintyInMeters,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1278,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:coordinatePrecision,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1279,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:footprintSRS,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1281,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,skos:exactMatch,dwc:locationID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1274,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:decimalLatitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1275,Mathias Dillen,rdf property,rdf property,,2023-09,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:decimalLongitude,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1276,Mathias Dillen,rdf property,rdf property,,2023-09,dwc:decimalLatitude | dwc:decimalLongitude | dwc:coordinatePrecision | dwc:coordinateUncertaintyInMeters | dwc:geodeticDatum,All properties in object_match_field need to be present,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:GeographicalLocalityID,mids3,owl:intersectionOf,dwc:footprintWKT,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1280,Mathias Dillen,rdf property,rdf property,,2023-09,dwc:footprintWKT | dwc:footprintSRS,All properties in object_match_field need to be present,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,GeographicalLocalityID
mids:InstitutionID,mids3,skos:exactMatch,dwc:institutionID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1280,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,InstitutionID
mids:CollectorID,mids3,skos:exactMatch,dwc:recordedByID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1283,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,CollectorID
mids:ScientificNameID,mids3,skos:exactMatch,dwc:scientificNameID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown|0,ScientificNameID
mids:ScientificNameID,mids3,skos:narrowMatch,gbif:taxonKey,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2024-06-26,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown|0,ScientificNameID
mids:IdentifiedByID,mids3,skos:narrowMatch,dwc:identifiedByID,dwc:Occurrence,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,IdentifiedByID
mids:IdentifiedByID,mids3,skos:narrowMatch,dwc:identifiedByID,dwc:Identification,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1260,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,IdentifiedByID
mids:AssociatedMediaID,mids3,skos:narrowMatch,dc:identifier,gbif:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,AssociatedMediaID
mids:AssociatedMediaID,mids3,skos:narrowMatch,dc:identifier,ac:Multimedia,semapv:HumanCuration,orcid:0000-0002-3973-1257,Mathias Dillen,orcid:0000-0002-3973-1289,Mathias Dillen,rdf property,rdf property,,2023-12-07,,,,http://rs.tdwg.org/dwc/terms,,,|unknown:undigitized|unknown|Unknown,AssociatedMediaID
